id,meters,price,rooms,dealer,title,location,district
42oix,61.80,369000,4,Ofertaprywatna,"4 pokoje 62m2 Lublin, LSM , Os.Sienkiewicza","['Lublin', 'LSM']",LSM
3XVxm,79,489000,3,PółnocNieruchomościFranczyza,3 słoneczne pokoje z pełnym wyposażeniem.,"['Lublin', 'LSM']",LSM
3ZfuI,60,375000,3,PrestigeBroker,Mieszkanie 3 pokojowe w stanie deweloperskim,"['Lublin', 'Węglin']",Węglin
41vPv,58.50,389000,2,HomeBrokerS.A.,"Mieszkanie, 58,50 m², Lublin","['Lublin', 'Ponikwoda']",Ponikwoda
41vPj,56,379500,2,HomeBrokerS.A.,"Mieszkanie, 56 m², Lublin","['Lublin', 'Czuby']",Czuby
41vOV,35.87,225981,2,CLIVUSNieruchomości,Deweloper Lublin - Ostatnie Mieszkania Na 2020 Rok,"['Lublin', 'Kośminek']",Kośminek
3Pm5S,144.98,549900,4,BigCityInvestsp.zo.o,Zamieszkaj na Skowronkowej,"['Lublin', 'Sławin']",Sławin
41vK3,80,440000,3,OnestoBroker,"3-4 pokoje, 80 m² , Czechów, ul.Lawinowa","['Lublin', 'Czechów']",Czechów
41vEV,65,390000,3,WMNieruchomości,"Kul, Umcs, Wieniawa 65 m, 3 pokoje+garaż","['Lublin', 'Wieniawa']",Wieniawa
41wUW,60,298000,3,BiuroNieruchomościKWADRAT,"Przestronne mieszkanie z pięknym widokiem, Wrotków","['Lublin', 'Wrotków']",Wrotków
41wKN,56,379500,2,StrefaM,*lux*I piętro*winda*wysoki standard*,"['Lublin', 'Czuby']",Czuby
41wHa,43.65,235710,1,4tepiętro,43m2 przy Politechnice Lubelskiej.,"['Lublin', 'Centrum']",Centrum
41wsa,117.82,655000,6,Alfahouse,Mieszkanie 6 pokojowe w Centrum,"['Lublin', 'Śródmieście']",Śródmieście
41wny,32.04,165000,2,HomeBrokerS.A.,"Mieszkanie, 32,04 m², Lublin","['Lublin', 'Dziesiąta']",Dziesiąta
41wlq,36.25,305000,1,Alfahouse,"36 mkw, 1 piętro, Śródmieście","['Lublin', 'Śródmieście']",Śródmieście
41wbS,80.50,420000,3,HappyHome,"Mieszkanie w domu, 10min pieszo na Um","['Lublin', 'Śródmieście']",Śródmieście
41w6q,31.87,224000,2,BIGCITYBROKER,Mieszkanie 2-pokojowe w nowym budownictwie,"['Lublin', 'Wrotków']",Wrotków
41w5o,40.75,246537.50,2,3KLUCZEs.c.,"Mieszkanie, 40,75 m², Lublin","['Lublin', 'Węglinek']",Węglinek
41w5n,40.75,246537.50,2,3KLUCZEs.c.,"Mieszkanie, 40,75 m², Lublin","['Lublin', 'Węglinek']",Węglinek
41w5l,49.33,305846,3,3KLUCZEs.c.,"Mieszkanie, 49,33 m², Lublin","['Lublin', 'Węglinek']",Węglinek
41w5k,49.33,305846,3,3KLUCZEs.c.,"Mieszkanie, 49,33 m², Lublin","['Lublin', 'Węglinek']",Węglinek
41w5i,34.48,208604,2,3KLUCZEs.c.,"Mieszkanie, 34,48 m², Lublin","['Lublin', 'Węglinek']",Węglinek
41uZw,56,379500,2,BiuroNieruchomościKWADRAT,Nowoczesne 2 pokoje w bloku z 2012 r.,"['Lublin', 'Węglinek']",Węglinek
41uZu,34.48,208604,2,3KLUCZEs.c.,"Mieszkanie, 34,48 m², Lublin","['Lublin', 'Węglinek']",Węglinek
41uZs,30.18,182589,1,3KLUCZEs.c.,"Mieszkanie, 30,18 m², Lublin","['Lublin', 'Węglinek']",Węglinek
41uZq,30.18,182589,1,3KLUCZEs.c.,"Mieszkanie, 30,18 m², Lublin","['Lublin', 'Węglinek']",Węglinek
41uZp,37.72,228206,2,3KLUCZEs.c.,"Mieszkanie, 37,72 m², Lublin","['Lublin', 'Węglinek']",Węglinek
41ncE,92.25,489000,4,MetrohouseLublin,"Piękne mieszkanie na LSM, 92 m2","['Lublin', 'LSM']",LSM
420D4,61.79,384000,3,MetrohouseLublin,Trzy pokoje_do wprowadzenia_nowe budownictwo,"['Lublin', 'Felin']",Felin
4219Z,59.80,440000,3,MetrohouseLublin,Trzy pokoje w atrakcyjnej lokalizacji z windą,"['Lublin', 'Ponikwoda']",Ponikwoda
42fmi,53.70,340000,2,MetrohouseLublin,Dwupokojowe na Czubach/Konstantynowie,"['Lublin', 'Konstantynów']",Konstantynów
42qhj,31.22,230000,1,MetrohouseLublin,Kawalerka_jednopokojowe_nowoczesne z windą,"['Lublin', 'Dziesiąta']",Dziesiąta
42eR9,48.58,274477,2,4tepiętro,Mieszkanie 2 pok. na Felinie!,"['Lublin', 'Felin']",Felin
42eO2,61.19,324307,3,4tepiętro,Mieszkanie 3 pok. na Felinie!,"['Lublin', 'Felin']",Felin
42eO1,64.50,348300,3,4tepiętro,Mieszkanie 3 pok. na Felinie!,"['Lublin', 'Felin']",Felin
42eME,48.85,278445,2,4tepiętro,Mieszkanie 2 pok. na Felinie!,"['Lublin', 'Felin']",Felin
42eMD,40.15,236885,2,4tepiętro,Mieszkanie 2 pok. 40m2 na Felinie!,"['Lublin', 'Felin']",Felin
